id,author
1,Mahatma M.K.Gandhi
2,Thomas Hardy
3,Rabindra Nath Tagore
4,Alexander Solzhenitsyn
5,William shakespeare
6,Somerset Maughan
7,John Bunyan
8,Charles Dickens
9,Sir Thomas Moor
10,charles Darwin
11,Charles Dickens
12,E.M.Forster
13,Jonathan Swift
14,Pandit Jawaharlal Nehru
15,Oliver Goldsmith
16,Edward Gibbon
17,Sir Walter Scott
18,Jane Austen
19,H.G. Wells
20,Kautilya
21,Jean Jacques Rousseau
22,Kalidas
23,Bankimchandra Chattopadhyay
24,Adolf Hitler
25,Abul Fazal
26,Abul Fazal
27,Kalidas
28,Leo Tolstoy
29,D.P. Moynihan
30,Kalidas
31,Arthur Conan Doyle
32,Mark Twain
33,Kazi Nasrul Islam
34,Lewis Carrol
35,Coleridge
36,George Orwell
37,Tolstoy
38,Shakespeare
39,G.B.Shaw
40,Jules Verne
41,Babur
42,Lewis Wallace
43,Ved Vyas
44,R.N.Tagore
45,Chaucer
46,R.N.Tagore
47,Alexander Dumas
48,Dostoevsky
49,Karl Marx
50,Dante
51,Stevenson
52,Cervantes
53,Boris Pasternak
54,Ernest Hemingway
55,John Galsworthy
56,Dominique Lapierre
57,Winston Churchill
58,Jaya Dev
59,R.N. Tagore
60,Shakespeare
61,Bana Bhatt
62,Victor Hugo
63,R.N.Tagore
64,Homer
65,H.G.Wells
66,Walter Scott
67,Rudyard Kipling
68,Bana Bhatt
69,R.L.Stevenson
70,Shakespeare
71,Kalidas
72,Bulwar Lytton
73,Victor Hugo
74,Shri Aurobindo
75,Vyas
76,G.B.Shaw
77,Kalidas
78,Maxim Gorky
79,Homer
80,Charles Dickens
81,Shakespeare
82,Vishnu Sharma
